indice_tiempo,recaudacion_cine,recaudacion_films_nacionales,recaudacion_films_extranjeros,recaudacion_festivales_y_muestras
1997-01-01,130486630,,,
1998-01-01,146659802,,,
1999-01-01,151699783,,,
2000-01-01,164953455,,,
2001-01-01,134668998,17351255,116404614,913129
2002-01-01,148980501,15749247,132158867,1072388
2003-01-01,184001012,17122843,165322408,1555760
2004-01-01,264809740,34015793,228803347,1990601
2005-01-01,248428757,29099427,217267434,2061895
2006-01-01,282501187,30978187,248099929,3423072
2007-01-01,325044771,29823457,290852736,4368578
2008-01-01,395573068,46245318,343071416,6256335
2009-01-01,461565907,71937634,381901840,7726434
2010-01-01,670725028,56856909,600272549,13595570
2011-01-01,959726648,63380145,884546715,11799787
2012-01-01,1297370776,113641248,1166108562,17620965
2013-01-01,1683373845,243487285,1425445950,14440610
2014-01-01,2017624139,335341863,1670180485,12101791
2015-01-01,3174045086,413264790,2746002378,14777919
2016-01-01,3958128877,506052840,3432426546,19649491
2017-01-01,4851394373,565832027,4263753561,21808785
2018-01-01,5506905372,716784733,4759561879,30558760
2019-01-01,8509771067,610175789,7868523714,31071563
2020-01-01,1955720262,452332839,1498188148,5199276
